Municipality,Age,Year,Sex,"Population by municipality, age and sex 1998-2025"
Total,Total,2025,Total,389444
Reykjavikurborg,Total,2025,Total,138772
Kopavogsbaer,Total,2025,Total,40040
Seltjarnarnesbaer,Total,2025,Total,4585
Gardabaer,Total,2025,Total,20116
Hafnarfjardarkaupstadur,Total,2025,Total,31525
Mosfellsbaer,Total,2025,Total,13715
Kjosarhreppur,Total,2025,Total,301
Reykjanesbaer,Total,2025,Total,22499
Grindavikurbaer,Total,2025,Total,1246
Sveitarfelagid Vogar,Total,2025,Total,1741
Sudurnesjabaer,Total,2025,Total,4091
Akraneskaupstadur,Total,2025,Total,8285
Skorradalshreppur,Total,2025,Total,65
Hvalfjardarsveit,Total,2025,Total,760
Borgarbyggd,Total,2025,Total,4102
Grundarfjardarbaer,Total,2025,Total,826
Eyja- og Miklaholtshreppur,Total,2025,Total,124
Snaefellsbaer,Total,2025,Total,1669
Sveitarfelagid Stykkisholmur,Total,2025,Total,1285
Dalabyggd,Total,2025,Total,645
Bolungarvikurkaupstadur,Total,2025,Total,995
Isafjardarbaer,Total,2025,Total,3832
Reykholahreppur,Total,2025,Total,246
Vesturbyggd,Total,2025,Total,1314
Sudavikurhreppur,Total,2025,Total,209
Arneshreppur,Total,2025,Total,60
Kaldrananeshreppur,Total,2025,Total,115
Strandabyggd,Total,2025,Total,405
Hunathing vestra,Total,2025,Total,1203
Sveitarfelagid Skagastrond,Total,2025,Total,462
Hunabyggd,Total,2025,Total,1374
Skagafjordur,Total,2025,Total,4316
Akureyrarbaer,Total,2025,Total,20050
Nordurthing,Total,2025,Total,3114
Fjallabyggd,Total,2025,Total,1966
Dalvikurbyggd,Total,2025,Total,1906
Eyjafjardarsveit,Total,2025,Total,1184
Horgarsveit,Total,2025,Total,847
Svalbardsstrandarhreppur,Total,2025,Total,504
Grytubakkahreppur,Total,2025,Total,389
Tjorneshreppur,Total,2025,Total,53
Thingeyjarsveit,Total,2025,Total,1453
Langanesbyggd,Total,2025,Total,560
Fjardabyggd,Total,2025,Total,5247
Mulathing,Total,2025,Total,5232
Vopnafjardarhreppur,Total,2025,Total,648
Fljotsdalshreppur,Total,2025,Total,90
Vestmannaeyjabaer,Total,2025,Total,4470
Sveitarfelagid Arborg,Total,2025,Total,12064
Sveitarfelagid Hornafjordur,Total,2025,Total,2589
Myrdalshreppur,Total,2025,Total,965
Skaftarhreppur,Total,2025,Total,627
Asahreppur,Total,2025,Total,299
Rangarthing eystra,Total,2025,Total,2073
Rangarthing ytra,Total,2025,Total,1940
Hrunamannahreppur,Total,2025,Total,914
Hveragerdisbaer,Total,2025,Total,3300
Sveitarfelagid Olfus,Total,2025,Total,2757
Grimsnes- og Grafningshreppur,Total,2025,Total,575
Skeida- og Gnupverjahreppur,Total,2025,Total,617
Blaskogabyggd,Total,2025,Total,1362
Floahreppur,Total,2025,Total,726
