Variant,Age,Sex,Year,Population projection by age and sex 2026-2075
Low variant L2,Total,Total,2026,393210
Low variant L2,Total,Total,2027,399374
Low variant L2,Total,Total,2028,405410
Low variant L2,Total,Total,2029,411306
Low variant L2,Total,Total,2030,417091
Low variant L2,Total,Total,2031,422700
Low variant L2,Total,Total,2032,428119
Low variant L2,Total,Total,2033,433251
Low variant L2,Total,Total,2034,438155
Low variant L2,Total,Total,2035,442889
Low variant L2,Total,Total,2036,447392
Low variant L2,Total,Total,2037,451672
Low variant L2,Total,Total,2038,455755
Low variant L2,Total,Total,2039,459594
Low variant L2,Total,Total,2040,463022
Low variant L2,Total,Total,2041,466157
Low variant L2,Total,Total,2042,469085
Low variant L2,Total,Total,2043,471745
Low variant L2,Total,Total,2044,474185
Low variant L2,Total,Total,2045,476355
Low variant L2,Total,Total,2046,478324
Low variant L2,Total,Total,2047,480058
Low variant L2,Total,Total,2048,481221
Low variant L2,Total,Total,2049,482227
Low variant L2,Total,Total,2050,483052
Low variant L2,Total,Total,2051,483696
Low variant L2,Total,Total,2052,484112
Low variant L2,Total,Total,2053,484396
Low variant L2,Total,Total,2054,484552
Low variant L2,Total,Total,2055,484404
Low variant L2,Total,Total,2056,484033
Low variant L2,Total,Total,2057,483483
Low variant L2,Total,Total,2058,482773
Low variant L2,Total,Total,2059,481994
Low variant L2,Total,Total,2060,481142
Low variant L2,Total,Total,2061,480221
Low variant L2,Total,Total,2062,479069
Low variant L2,Total,Total,2063,477818
Low variant L2,Total,Total,2064,476418
Low variant L2,Total,Total,2065,474833
Low variant L2,Total,Total,2066,473119
Low variant L2,Total,Total,2067,471220
Low variant L2,Total,Total,2068,469072
Low variant L2,Total,Total,2069,466857
Low variant L2,Total,Total,2070,464446
Low variant L2,Total,Total,2071,461861
Low variant L2,Total,Total,2072,459106
Low variant L2,Total,Total,2073,456112
Low variant L2,Total,Total,2074,452979
Low variant L2,Total,Males,2026,203790
Low variant L2,Total,Males,2027,207348
Low variant L2,Total,Males,2028,210829
Low variant L2,Total,Males,2029,214227
Low variant L2,Total,Males,2030,217549
Low variant L2,Total,Males,2031,220773
Low variant L2,Total,Males,2032,223908
Low variant L2,Total,Males,2033,226887
Low variant L2,Total,Males,2034,229737
Low variant L2,Total,Males,2035,232460
Low variant L2,Total,Males,2036,235081
Low variant L2,Total,Males,2037,237615
Low variant L2,Total,Males,2038,240016
Low variant L2,Total,Males,2039,242292
