Title,Year,Avg Rating,# Ratings
"Godfather: Part II, The",1974,4.26,43111
Paths of Glory,1957,4.18,5490
"Boot, Das (Boat, The)",1981,4.13,15804
"Prestige, The",2006,4.12,32965
Vertigo,1958,4.12,19529
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),1981,4.11,67408
Oppenheimer,2023,4.08,1152
Red Beard (Akahige),1965,4.07,678
Forrest Gump,1994,4.05,100296
Inherit the Wind,1960,4.05,2230
Memories of Murder (Salinui chueok),2003,4.05,2860
"Grand Day Out with Wallace and Gromit, A",1989,4.04,8854
Mister Roberts,1955,4.03,2644
"Face in the Crowd, A",1957,4.03,777
Kind Hearts and Coronets,1949,4.02,1216
Coco,2017,4.02,9638
Moon,2009,4.01,15744
Crimes and Misdemeanors,1989,4,4760
Wolf Children (Okami kodomo no ame to yuki),2012,4,1192
"Strada, La",1954,3.99,1502
